sprint_id,sprint_name,project,board_name,created_date_utc,start_date_utc,end_date_utc,completion_date_utc,status
4188,Centene Sprint 1,CPEHC,Centene,2024-12-24 09:38:04.421,2024-12-23 18:30:29.116,2025-01-10 18:00:00,2025-07-24 06:49:54.211,closed
4210,PLT2_2024_Sprint21_Contracts,CPEHC,Centene,2025-01-07 05:12:58.208,2025-01-08 18:30:11.667,2025-01-22 18:00:00,2025-01-22 17:40:39.621,closed
7571,PLT2_2025_Sprint34_DI,CPEHC,Data Ingestion ,2025-06-27 10:22:47.173,2025-07-09 18:30:32.223,2025-07-22 18:30:00,2025-07-23 18:47:17.504,closed
7934,PLT2_2025_Sprint44_DI,CPEHC,Data Ingestion ,2025-07-17 10:00:22.637,2025-11-26 18:30:02.235,2025-12-09 18:30:00,,active
12533,PLT2_2025_Sprint34_DI 2,CPEHC,Data Ingestion ,2025-11-27 07:08:12.349,,,,future
54,HED Sprint 1 (Sept),CPEHC,CT PLT 2.0 Engineering (HEDIS and CONTRACTS),,2023-06-15 10:53:41.755,2023-06-28 10:53:00,2023-07-04 05:58:00.445,closed
1690,PPC Sprint 1 (Sept),CPEHC,CT PLT 2.0 Engineering (HEDIS and CONTRACTS),,2023-06-15 09:24:30.544,2023-06-28 09:24:00,2023-06-29 12:57:18.144,closed
1691,PPC Sprint 4 (Phase1),CPEHC,CT PLT 2.0 Engineering (HEDIS and CONTRACTS),,2023-07-26 17:02:20.941,2023-08-09 17:02:00,2023-08-10 12:06:12.212,closed
1692,HED Sprint 4 (Phase1),CPEHC,CT PLT 2.0 Engineering (HEDIS and CONTRACTS),,2023-07-26 13:35:27.259,2023-08-09 01:35:00,2023-08-11 05:43:30.017,closed
878,PLT2_2024_Sprint01_HEDIS,CPEHC,CT PLT 2.0 Engineering (HEDIS and CONTRACTS),,2024-04-04 05:30:00.000,2024-04-17 14:30:00,2024-04-17 16:49:53.860,closed
1693,PLT2_2024_Sprint11_DLT,CPEHC,CT PLT 2.0 Engineering (HEDIS and CONTRACTS),,2024-08-22 12:36:52.890,2024-09-04 18:29:00,2024-09-04 16:06:41.182,closed
1694,PLT2_2024_Sprint11_DI,CPEHC,CT PLT 2.0 Engineering (HEDIS and CONTRACTS),,2024-08-22 05:30:44.577,2024-09-04 18:29:00,2024-09-04 16:10:02.960,closed
4110,PLT2_2024_Sprint16_RE_A360,CPEHC,CT PLT 2.0 Engineering (HEDIS and CONTRACTS),2024-10-29 13:38:17.072,2024-10-31 06:05:36.202,2024-11-14 06:05:10,2024-11-15 12:04:19.228,closed
4111,PLT2_2024_Sprint16_HCC,CPEHC,CT PLT 2.0 Engineering (HEDIS and CONTRACTS),2024-10-29 13:40:23.277,2024-10-31 06:06:15.036,2024-11-14 06:06:08,2024-11-14 06:28:56.414,closed
